date,open,high,low,close,adjusted close,volume,dividend amount
23-02-2024,187.64,188.77,178.75,185.72,180.8508,17487852,0
16-02-2024,185.9,188.95,182.26,187.64,182.7205,21745006,0
09-02-2024,185.51,187.18,181.49,186.34,181.4546,22784812,1.66
02-02-2024,187.46,189.46,182.71,185.79,179.3045,28283876,0
26-01-2024,172.82,196.9,172.4,187.42,180.8776,56232762,0
19-01-2024,165.8,171.5791,165.04,171.48,165.494,19864308,0
12-01-2024,158.69,165.98,157.885,165.8,160.0123,17643392,0
05-01-2024,162.83,163.29,158.67,159.16,153.6041,14822074,0
29-12-2023,162.23,164.18,162.05,163.55,157.8409,9376537,0
22-12-2023,162.23,163.33,159.53,162.14,156.4801,17686398,0
15-12-2023,162.68,166.34,160.149,162.23,156.5669,33504550,0
08-12-2023,160.29,162.79,159.97,161.96,156.3064,21918957,0
01-12-2023,154.99,160.59,154.75,160.55,154.9456,21900644,0
24-11-2023,152.51,155.705,152.35,155.18,149.763,11362696,0
17-11-2023,148.46,153.5,147.35,152.89,147.553,19547595,0
10-11-2023,147.89,149.68,145.28,149.02,143.8181,18357944,1.66
03-11-2023,143.19,148.445,142.58,147.9,141.1392,22959464,0
27-10-2023,136.63,144.7,135.87,142.52,136.0051,30227448,0
20-10-2023,139.28,140.62,136.31,137.16,130.8902,21044049,0
13-10-2023,142.3,143.415,138.27,138.46,132.1307,16386334,0
06-10-2023,140.04,142.94,139.86,142.03,135.5375,15932918,0
29-09-2023,146.57,147.43,139.61,140.3,133.8866,23445425,0
22-09-2023,145.77,151.9299,144.66,146.91,140.1945,23597168,0
15-09-2023,148.57,148.78,145.53,145.99,139.3165,19316647,0
08-09-2023,147.91,149,147.12,147.68,140.9293,13719451,0
01-09-2023,145.41,148.1,145.21,147.94,141.1774,15198607,0
25-08-2023,141.42,145.47,141.11,145.35,138.7058,15614989,0
18-08-2023,143.05,143.365,139.76,141.41,134.9459,18826007,0
11-08-2023,145,146.5,142.205,143.12,136.5777,19428470,1.66
04-08-2023,143.81,146.09,142.17,144.24,136.0614,24072830,0
28-07-2023,139.35,143.95,138.7788,143.45,135.3162,24310886,0
21-07-2023,133.26,140.32,133.1,138.94,131.0619,29295540,0
14-07-2023,131.76,135.33,131.695,133.4,125.8361,15109770,0
07-07-2023,133.42,134.35,131.55,132.08,124.5909,10923840,0
30-06-2023,129.39,135.03,129.31,133.81,126.2228,18695850,0
23-06-2023,136.36,137.23,129.18,129.43,122.0912,27111509,0
16-06-2023,136,139.469,135.8216,137.48,129.6847,24228597,0
09-06-2023,133.12,136.1,131.88,135.3,127.6283,21174178,0
02-06-2023,129.56,133.12,127.46,132.42,124.9116,24339245,0
26-05-2023,127.5,129.66,125.01,128.89,121.5818,21029979,0
19-05-2023,123,128.29,122.34,127.26,120.0442,18284524,0
12-05-2023,123.76,123.92,120.55,122.84,115.8748,20404364,1.66
05-05-2023,126.35,126.75,121.7563,123.65,115.0626,21164660,0
28-04-2023,125.55,127.25,124.56,126.41,117.6309,20644224,0
21-04-2023,128.3,130.98,125.27,125.73,116.9981,30341128,0
14-04-2023,129.83,131.105,126,128.14,119.2407,19506500,0
06-04-2023,130.97,132.61,130.315,130.5,121.4368,13172262,0
31-03-2023,126.47,131.48,126.47,131.09,121.9859,20779522,0
24-03-2023,124.31,127.215,122.6,125.29,116.5887,20458253,0
17-03-2023,125.15,128.19,121.71,123.69,115.0998,66132690,0
10-03-2023,129.64,130.86,125.13,125.45,116.7376,20761401,0
03-03-2023,131.42,131.87,127.71,129.64,120.6366,17865677,0
24-02-2023,134,134.385,128.86,130.57,121.502,14198950,0
17-02-2023,136,137.39,133.89,135.02,125.6429,16543870,0
10-02-2023,135.83,136.74,133.34,135.6,126.1826,22140989,1.65
03-02-2023,134.32,136.95,132.8,136.94,125.8767,27874571,0
27-01-2023,141.4,142.985,132.98,134.39,123.5327,43345140,0
20-01-2023,146.42,147.18,139.75,141.2,129.7925,21419368,0
13-01-2023,144.08,146.66,142.9,145.89,134.1036,14580596,0
06-01-2023,141.1,144.25,140.01,143.7,132.0906,13648755,0
30-12-2022,141.73,142.81,139.45,140.89,129.5076,10477419,0
23-12-2022,140.16,143.09,137.195,141.65,130.2062,19663576,0
16-12-2022,147.82,153.21,138.97,140.16,128.8366,33572382,0
09-12-2022,147.94,149.153,146.29,147.05,135.1699,15316930,0
02-12-2022,147.98,150.01,145.67,148.67,136.659,20066941,0
25-11-2022,147.55,150.46,146.45,148.37,136.3833,16271883,0
18-11-2022,142.63,148.31,142,147.64,135.7123,22034930,0
11-11-2022,136.64,144.13,136.51,143.17,131.6034,25066114,1.65
04-11-2022,138.06,140.17,133.97,136.96,124.4011,22491556,0
28-10-2022,130.9,138.8615,129.85,138.51,125.809,26667185,0
21-10-2022,121.8,130.845,121.43,129.9,117.9885,37309868,0
14-10-2022,119.79,122.54,115.545,120.04,109.0326,22973512,0
07-10-2022,120.16,126.46,118.07,118.82,107.9245,21614952,0
30-09-2022,122.3,124.26,118.61,118.81,107.9154,22265241,0
23-09-2022,126.49,128.06,121.74,122.71,111.4578,19442664,0
16-09-2022,130.33,130.99,123.83,127.27,115.5996,27107187,0
09-09-2022,127.8,129.49,126.28,129.19,117.3436,12004834,0
02-09-2022,129.99,131.42,127.24,127.79,116.0719,15086608,0
26-08-2022,137.65,137.85,130.34,130.38,118.4245,16982107,0
19-08-2022,132.96,139.34,132.24,138.37,125.6818,17105977,0
12-08-2022,133.1,134.09,129.12,134.01,121.7216,17254110,1.65
05-08-2022,130.75,132.862,130.51,132.48,118.8176,17400572,0
29-07-2022,128.44,131,127.58,130.79,117.3019,22223785,0
22-07-2022,140.15,140.31,125.13,128.25,115.0239,66246811,0
15-07-2022,140.62,141.87,135.02,139.92,125.4904,21089228,0
08-07-2022,139.97,141.325,135.27,140.47,125.9837,16229131,0
01-07-2022,142.26,144.155,139.26,141.12,126.5666,21052787,0
24-06-2022,135.9,142.37,135.9,142.06,127.4097,23921844,0
17-06-2022,133.97,138.45,132.85,135.02,121.0957,34055621,0
10-06-2022,142.98,144.73,135.25,136.19,122.145,18914084,0
03-06-2022,138.2,142.5794,136.81,141.18,126.6204,19861566,0
27-05-2022,129.5,139.7394,129.42,139.27,124.9074,19618090,0
20-05-2022,133.1,138.37,125.8,128.48,115.2302,27360441,0
13-05-2022,134.41,136.345,128.43,133.6,119.8221,31171489,1.65
06-05-2022,133,137.99,130.89,137.67,121.9754,27079586,0
29-04-2022,137.59,139.87,132,132.21,117.1378,24560464,0
22-04-2022,126.6,141.88,125.53,138.25,122.4893,47056765,0
14-04-2022,127.95,130.58,124.91,126.56,112.1319,15342641,0
08-04-2022,130.26,131.23,126.73,127.73,113.1686,16553021,0
01-04-2022,130.82,133.08,128.06,130.15,115.3127,19183786,0
25-03-2022,129,131.4,127.4,131.35,116.3759,15440952,0
18-03-2022,124.45,128.93,122.685,128.76,114.0811,22675632,0
11-03-2022,126.47,128.345,123.125,123.96,109.8284,23784887,0
04-03-2022,122.21,127.35,120.7,126.62,112.1851,26131658,0
25-02-2022,124.2,125,118.81,124.18,110.0233,20417161,0
18-02-2022,132.59,132.65,123.61,124.35,110.1739,26022824,0
11-02-2022,137.45,138.35,132.38,132.69,117.5631,23489144,1.64
04-02-2022,134.09,138.82,132.3,137.15,120.0402,27665550,0
28-01-2022,127.99,137.3361,124.193,134.5,117.7208,52800401,0
21-01-2022,132.95,133.9,129.27,129.35,113.2133,20520487,0
14-01-2022,134.47,136.2,127.97,134.21,117.467,32044685,0
07-01-2022,134.07,142.2,132.51,134.83,118.0097,36013766,0
31-12-2021,130.63,134.99,129.95,133.66,116.9856,18454937,0
23-12-2021,125.72,130.96,124.7,130.63,114.3336,17369625,0
17-12-2021,123.76,128.64,120.79,127.4,111.5066,35216850,0
10-12-2021,119.4,125.33,119.4,124.09,108.6095,25031512,0
03-12-2021,118.62,119.61,116.45,118.84,104.0145,36059651,0
26-11-2021,116,118.81,114.56,115.81,101.3625,17875027,0
19-11-2021,119.54,120.16,115.27,116.05,101.5725,24272797,0
12-11-2021,123.985,124.78,118.78,118.96,104.1195,29109912,1.64
05-11-2021,125.05,127.29,119.9,123.61,106.7409,29791780,0
29-10-2021,127.53,128.65,124.62,125.1,103.2768,34288134,0
22-10-2021,144,144.94,126.611,127.88,105.5718,59731582,0
15-10-2021,143.5,144.85,139.66,144.61,119.3833,16262687,0
08-10-2021,142.74,146,140.89,143.22,118.2358,27211291,0
01-10-2021,137.96,143.97,136.44,143.32,118.3184,23824191,0
24-09-2021,133.9,138.48,132.78,137.49,113.5054,18425230,0
17-09-2021,138.4,138.99,135.05,135.23,111.6396,20130213,0
10-09-2021,139.65,139.79,137,137.02,113.1174,13754250,0
03-09-2021,139.5,140.94,138.815,139.58,115.2308,13345045,0
27-08-2021,139.62,140.8,138.4,139.41,115.0905,12376600,0
20-08-2021,143.23,143.74,137.21,139.11,114.8428,16189007,0
13-08-2021,142.2,143.58,140.34,143.18,118.2028,18462255,1.64
06-08-2021,141.45,144.7,141.03,144.09,117.5888,16428567,0
30-07-2021,141.39,143.64,140.79,140.96,115.0344,16120616,0
23-07-2021,136.45,144.92,136.2089,141.34,115.3446,34786264,0
16-07-2021,141.43,141.9599,138.59,138.9,113.3533,18659679,0
09-07-2021,139.99,141.98,137.1,141.52,115.4914,21544898,0
02-07-2021,147.01,147.5,139.46,140.02,114.2673,29077036,0
25-06-2021,144.11,147.07,144.06,146.84,119.833,17129373,0
18-06-2021,150.71,151.03,143.04,143.12,116.7972,23177438,0
11-06-2021,147.55,152.84,147.17,151.28,123.4564,22042806,0
04-06-2021,145,147.55,143.75,147.42,120.3063,12453017,0
28-05-2021,145.06,145.39,143.04,143.74,117.3031,18483838,0
21-05-2021,144.44,145.8,140.92,144.74,118.1192,20546126,0
14-05-2021,145.8,148.38,141.14,144.68,118.0703,27415665,0
07-05-2021,143.81,148.515,143.55,145.46,118.7068,31590796,1.64
30-04-2021,142.42,148.74,140.55,141.88,114.4944,25588990,0
23-04-2021,133.6,144.74,132.58,142.43,114.9382,47246234,0
16-04-2021,135.02,135.37,130.38,133.59,107.8045,26831249,0
09-04-2021,133.64,136.69,133.4,135.73,109.5314,19179860,0
01-04-2021,135.98,137.07,132.27,133.23,107.514,18432506,0
26-03-2021,128.5,136.48,127.89,136.38,110.056,23647858,0
19-03-2021,127.77,130.995,127.34,128.9,104.0198,28046462,0
12-03-2021,122.99,128.64,122.88,127.61,102.9788,29253064,0
05-03-2021,120.35,123.75,118.755,122.83,99.1214,32662092,0
26-02-2021,118.5,124.35,118.44,118.93,95.9742,30731807,0
19-02-2021,120.15,120.94,118.38,118.99,96.0226,22567552,0
12-02-2021,122.62,123.9767,120.09,120.8,97.4832,24634263,1.63
05-02-2021,119.9,121.81,118.12,121.79,96.9874,28405606,0
29-01-2021,118.7624,124.79,117.45,119.11,94.8532,56437187,0
22-01-2021,129.28,132.24,117.36,118.61,94.455,61879427,0
15-01-2021,127.95,130.16,126.455,128.39,102.2433,29417959,0
08-01-2021,125.85,131.88,123.04,128.53,102.3548,28434389,0
31-12-2020,125.1,126.6,123.24,125.88,100.2444,14025419,0
24-12-2020,123.97,125.21,121.72,124.69,99.2968,14908439,0
18-12-2020,125.32,126.5728,123.44,125.85,100.2206,25280527,0
11-12-2020,126.49,127.69,123.61,124.27,98.9623,29511629,0
04-12-2020,124.1,127.38,122.41,127.2,101.2956,24848983,0
27-11-2020,117.43,125.313,117.27,124.35,99.026,19418148,0
20-11-2020,118.3,118.88,115.89,116.94,93.1251,22498909,0
13-11-2020,117.88,119.74,113.48,116.85,93.0534,30088820,1.63
06-11-2020,112.65,115.65,111.16,114.04,89.5522,25467232,0
30-10-2020,114.45,114.9,105.92,111.66,87.6832,37250916,0
23-10-2020,126.8,127.35,112.98,116,91.0913,50486636,0
16-10-2020,128.07,128.25,123.85,125.93,98.889,21874963,0
09-10-2020,121.84,135.5,121.05,127.79,100.3496,43381507,0
02-10-2020,120.57,123.3,118.82,120.57,94.68,15038264,0
25-09-2020,120.48,121.59,116.48,118.95,93.4079,18708494,0
18-09-2020,122.36,125.82,121.76,122.76,96.3997,18909398,0
11-09-2020,122.16,123.7,120.24,121.46,95.3789,16507866,0
04-09-2020,125.25,129.95,121.24,122.3,96.0385,26310920,0
28-08-2020,123.79,126.82,123.36,125.07,98.2137,16959794,0
21-08-2020,125.25,125.59,122.31,123.16,96.7138,15908978,0
14-08-2020,125.42,130.47,123.91,125.27,98.3708,18634659,0
07-08-2020,123.5,126.75,122.15,124.96,98.1273,17701697,1.63
31-07-2020,124.86,126.34,121.09,122.94,95.298,20010578,0
24-07-2020,126.07,132.17,125.14,125.79,97.5072,41040414,0
17-07-2020,119.78,125.63,117.92,125.11,96.9801,21958911,0
10-07-2020,121.25,121.85,115.2,118.35,91.74,22560031,0
02-07-2020,117.98,121.42,117.37,119.7,92.7865,16478700,0
26-06-2020,122.12,122.9,115.88,117.19,90.8408,35016186,0
19-06-2020,119.19,127.5,118.29,122.47,94.9337,24867689,0
12-06-2020,132.27,135.88,117.84,121.91,94.4996,33456639,0
05-06-2020,124.64,134.23,124.03,132.06,102.3674,19514867,0
29-05-2020,121.3,126.97,121.01,124.9,96.8173,23037728,0
22-05-2020,119.88,122.47,117.59,118.39,91.771,19484187,0
15-05-2020,121.81,124.32,111.81,116.98,90.6781,24229073,0
08-05-2020,120.82,124.32,119.39,122.99,95.3368,21189890,1.63
01-05-2020,125.56,129.31,121.39,121.87,93.2153,26502989,0
24-04-2020,119.15,125,112.06,124.72,95.3951,41252209,0
17-04-2020,121.63,125.18,114.42,120.12,91.8767,27240371,0
09-04-2020,110.35,122.92,110.13,121.5,92.9323,23351117,0
03-04-2020,108.09,113.81,104.52,106.34,81.3368,28882211,0
27-03-2020,94.6,113.15,90.56,108.03,82.6294,39907532,0
20-03-2020,98,107.41,94.71,95.39,72.9614,47138046,0
13-03-2020,120.16,124.88,100.81,107.95,82.5682,55580046,0
06-03-2020,130.75,136.1,124.52,127.73,97.6974,35054761,0
28-02-2020,145.51,148.05,126.36,130.15,99.5484,38480655,0
21-02-2020,149.79,151.89,148.84,149.84,114.6088,12493166,0
14-02-2020,152.97,155.6,149.77,150.7,115.2666,23423757,0
07-02-2020,144.25,158.75,143.9,153.41,117.3394,43694755,1.62
31-01-2020,138.5,144.05,134.97,143.73,108.7866,34661511,0
24-01-2020,137.81,145.79,137.6,140.56,106.3873,34829367,0
17-01-2020,135.48,138.33,135.07,138.31,104.6843,20831539,0
10-01-2020,133.42,137.87,133.2,136.69,103.4582,17020619,0
03-01-2020,135.2,135.92,132.4,134.34,101.6795,13418364,0
27-12-2019,135.78,136.15,134.61,135.27,102.3834,8887084,0
20-12-2019,134.94,136.42,133.46,135.59,102.6256,20036502,0
13-12-2019,133.35,135.66,133.26,134.21,101.5811,17504239,0
06-12-2019,134.45,134.5,130.69,133.22,100.8318,17337693,0
29-11-2019,134.47,136.15,133.03,134.45,101.7628,11502959,0
22-11-2019,134.3,135.38,132.75,134.34,101.6795,16963107,0
15-11-2019,137.2,137.2,133.33,134.4,101.7249,16169172,0
08-11-2019,136.24,139.14,136.16,137.61,104.1545,17174941,1.62
01-11-2019,136,136.63,133.2,135.53,101.3873,16136475,0
25-10-2019,132.61,135.93,130.9,135.44,101.32,19388201,0
18-10-2019,142.31,143.72,132.25,134.09,100.3101,34208011,0
11-10-2019,142.26,144.5,138.25,142.76,106.7959,14096608,0
04-10-2019,143.73,147.35,139.18,142.99,106.968,15911420,0
27-09-2019,141.19,145.09,140.56,143.24,107.155,12376163,0
20-09-2019,142.56,145.03,140.51,141.88,106.1376,15262993,0
13-09-2019,140.59,145.46,140.46,143.67,107.4767,17776693,0
06-09-2019,134.85,141.7,133.33,140.57,105.1576,12663912,0
30-08-2019,131.05,136.07,129.16,135.53,101.3873,16211916,0
23-08-2019,134.88,136.33,128.83,129.57,96.9288,16504912,0
16-08-2019,135.66,136.57,130.25,133.76,100.0632,20933133,0
09-08-2019,144.98,145.1,135.35,136.13,101.8362,28623442,1.62
02-08-2019,151.11,152.95,145.59,147.25,108.8956,22876887,0
26-07-2019,150.16,151.94,148.38,151.36,111.9351,16794485,0
19-07-2019,142.89,151.58,141.95,149.68,110.6927,31893327,0
12-07-2019,141.05,142.92,139.13,142.74,105.5604,13194248,0
05-07-2019,139.6,141.82,139.28,141.38,104.5546,9862722,0
28-06-2019,139.2,140.15,137.84,137.9,101.981,15575818,0
21-06-2019,135.39,139.54,134.7,139.2,102.9424,15851123,0
14-06-2019,134.38,136.46,133.91,135.15,99.9473,13722199,0
07-06-2019,127.1,134.72,127.06,133.31,98.5866,16193845,0
31-05-2019,132.13,132.64,126.85,126.99,93.9128,14869322,0
24-05-2019,133.53,137.06,130.44,132.28,97.8249,15557532,0
17-05-2019,133.28,136.11,130.96,134.32,99.3335,16426011,0
10-05-2019,138.3,140.69,132.42,135.32,100.0731,19509963,1.62
03-05-2019,139.15,141.81,138.68,140.25,102.4921,16772230,0
26-04-2019,139.42,141.31,137.71,139.44,101.9002,16961387,0
18-04-2019,144.4,145.39,136.26,140.33,102.5506,27390537,0
12-04-2019,143.02,144.44,141.84,144.35,105.4883,13675882,0
05-04-2019,141.51,144.22,141.51,143.28,104.7064,14574262,0
29-03-2019,139.06,141.22,138.35,141.1,103.1133,14257045,0
22-03-2019,139.83,142.12,138.72,139.45,101.9075,17883337,0
15-03-2019,136.03,140.33,135.84,139.43,101.8929,20959826,0
08-03-2019,139.99,140.08,133.58,135.09,98.7213,18558647,0
01-03-2019,140,140.49,137.72,139.2,101.7248,15273342,0
22-02-2019,137.81,139.38,137.22,139.25,101.7613,13238819,0
15-02-2019,134.29,138.19,133.91,138.03,100.8698,17299173,0
08-02-2019,134.02,136.65,132.12,133.71,97.7128,21874687,1.57
01-02-2019,133.1,135.41,132.58,134.1,96.8561,23585862,0
25-01-2019,123.3,135,121.54,133.97,96.7622,44147478,0
18-01-2019,120.51,124.72,119.76,123.82,89.4312,23616108,0
11-01-2019,117.5,121.86,116.67,121.46,87.7266,19780844,0
04-01-2019,113.33,117.49,111.69,117.32,84.7365,18047093,0
28-12-2018,109.9,114.8,105.94,113.03,81.6379,21630293,0
21-12-2018,119.07,120.27,110.44,110.94,80.1284,39485288,0
14-12-2018,119.74,123.81,118.52,119.9,86.5999,23701178,0
07-12-2018,125.67,126.59,118.87,119.34,86.1954,25801474,0
30-11-2018,118.37,124.69,118.06,124.27,89.7562,27471124,0
23-11-2018,121.63,122.18,116.7,117.19,84.6426,18035587,0
16-11-2018,123.5,123.57,119.51,121.57,87.8061,23510061,0
09-11-2018,116.1,125.06,116,123.54,89.229,48482997,1.57
02-11-2018,119.34,123.95,114.09,115.67,82.495,87773431,0
26-10-2018,129.58,131.9,123.71,124.79,88.9993,36964774,0
19-10-2018,140.38,145.45,127.96,129.1,92.0731,50928336,0
12-10-2018,148.5,149.07,138.78,140.85,100.4532,27703434,0
05-10-2018,151.71,154.36,147.87,149.03,106.2871,18943237,0
28-09-2018,151.1,153.35,148.36,151.21,107.8418,22847744,0
21-09-2018,148.44,152.6,147.47,151.35,107.9417,37327961,0
14-09-2018,146.6,149.3,145.25,148.33,105.7878,20298346,0
07-09-2018,145.98,147.66,144.81,145.45,103.7338,15394651,0
31-08-2018,146.94,147.93,145.25,146.48,104.4684,15929583,0
24-08-2018,146.37,147.16,144.75,146.04,104.1546,12992907,0
17-08-2018,144.15,146.39,142,146.06,104.1689,17890077,0
10-08-2018,146.95,147.64,143.88,144.48,103.042,17100909,1.57
03-08-2018,144.8,147.92,142.33,147.7,104.2084,24366161,0
27-07-2018,146.35,149.27,144.66,145.15,102.4093,19940363,0
20-07-2018,145.67,150.54,142.74,146.35,103.2559,36572622,0
13-07-2018,142.59,146.98,142.47,145.9,102.9384,17395351,0
06-07-2018,138.28,142.94,138.2,142.48,100.5255,12024030,0
29-06-2018,140.4,141.36,137.45,139.7,98.5641,25451478,0
22-06-2018,144.18,144.52,140.78,141.28,99.6788,21004666,0
15-06-2018,146.62,147.52,143.7,145.39,102.5786,21311072,0
08-06-2018,142.3,146.7,142.18,146.14,103.1078,18618365,0
01-06-2018,142.53,143.1,140.21,141.95,100.1516,20343954,0
25-05-2018,144.95,146.2,142.95,143.64,101.3439,16951460,0
18-05-2018,144.47,145.19,142.92,144.08,101.6544,16304020,0
11-05-2018,144,144.85,141.28,144.14,101.6967,20021856,1.57
04-05-2018,146.86,147.38,139.9,143.91,100.4288,23464605,0
27-04-2018,145.03,147.36,144.11,146.48,102.2223,25028049,0
20-04-2018,157.99,162,144.51,144.9,101.1197,51127683,0
13-04-2018,151.8,159.22,151.74,156.71,109.3614,21372171,0
06-04-2018,153.34,154.92,147.45,150.57,105.0765,20949699,0
29-03-2018,151.21,154.87,150.28,153.43,107.0724,14934365,0
23-03-2018,159.71,159.89,148.54,148.89,103.9041,21959274,0
16-03-2018,159.64,162.11,157.74,160.26,111.8388,25076217,0
09-03-2018,154.12,159.58,153.75,159.31,111.1758,22842811,0
02-03-2018,155.81,159.78,151.88,154.49,107.8121,18831762,0
23-02-2018,155.79,156.79,152.79,155.52,108.5309,14987102,0
16-02-2018,150.9,157.79,149.64,156.18,108.9915,25701914,0
09-02-2018,157.89,158.5,144.4,149.51,104.3368,38856237,1.5
02-02-2018,167.45,168.39,158.87,159.03,109.8638,21842492,0
26-01-2018,161.51,168.72,161.11,167.34,115.6047,28170112,0
19-01-2018,165.1,171.13,161.3,162.37,112.1712,51246304,0
12-01-2018,162.66,164.94,161.7,163.14,112.7032,22376145,0
05-01-2018,154.5,162.9,153.54,162.49,112.2541,26160206,0
29-12-2017,152.51,154.72,152.5,153.42,105.9882,10573732,0
22-12-2017,153.41,154.18,151.49,152.5,105.3527,20045931,0
15-12-2017,154.97,157.85,152.03,152.5,105.3527,31101402,0
08-12-2017,155.67,156.8,153.26,154.81,106.9485,20236835,0
01-12-2017,152.06,155.02,151.62,154.76,106.914,24386604,0
24-11-2017,150.64,152.45,149.9,151.84,104.8967,13728716,0
17-11-2017,148.88,150.15,146.211,148.97,102.914,23731918,0
10-11-2017,151.77,151.82,149.14,149.16,103.0453,21891991,1.5
03-11-2017,153.76,154.93,151.49,151.58,103.6823,19467703,0
27-10-2017,162.05,162.51,152.911,153.68,105.1188,28529638,0
20-10-2017,147.22,162.48,146.18,162.07,110.8576,56148944,0
13-10-2017,146.5,148.95,146.35,147.1,100.618,16128636,0
06-10-2017,145.35,147.54,145.21,146.48,100.1939,12252293,0
29-09-2017,145.12,147.42,144.21,145.08,99.2363,18131168,0
22-09-2017,144.81,145.8911,144.22,145.13,99.2705,16890140,0
15-09-2017,143.54,146.38,143.01,144.82,99.0584,24882951,0
08-09-2017,143.5,144.64,141.64,142.45,97.4373,13803467,0
01-09-2017,144.11,144.56,141.9,144.08,98.5523,17765494,0
25-08-2017,139.59,144.19,139.13,143.74,98.3197,15927109,0
18-08-2017,142,143.34,139.58,139.7,95.5563,18585485,0
11-08-2017,145,145.09,141.19,141.84,97.0201,18161288,1.5
04-08-2017,144.38,145.67,144.17,145.16,98.2539,16503121,0
28-07-2017,147,147.49,143.64,144.29,97.665,21206630,0
21-07-2017,153.59,154.29,146.51,147.08,99.5535,39223438,0
14-07-2017,152.91,154.615,152.05,154.24,104.3998,15015697,0
07-07-2017,153.58,156.025,152.14,152.94,103.5199,11462576,0
30-06-2017,154.71,155.75,153.14,153.83,104.1223,13465670,0
23-06-2017,155.51,155.86,153.39,154.11,104.3118,18294998,0
16-06-2017,154.19,157.2,152.94,155.38,105.1715,23761609,0
09-06-2017,151.82,154.265,150.8,154.1,104.3051,20653101,0
02-06-2017,151.95,153.2,151.59,152.05,102.9175,13583558,0
26-05-2017,152.1,153.73,151.23,152.49,103.2153,14563625,0
19-05-2017,150.62,154.14,150.11,151.98,102.8701,23606431,0
12-05-2017,152.8,153.47,149.79,150.37,101.7804,28432713,1.5
05-05-2017,160.05,160.42,153,155.05,103.9294,28746997,0
28-04-2017,161.29,162.04,159.63,160.29,107.4417,22585454,0
21-04-2017,169.75,171.69,159.6,160.38,107.5021,22353091,0
13-04-2017,172.53,172.56,168.98,169.53,113.6353,15162492,0
07-04-2017,173.82,176.33,171.28,172.14,115.3847,20657952,0
31-03-2017,172.69,175,172.0937,174.14,116.7253,15949938,0
24-03-2017,175.65,176.23,172.8,173.83,116.5175,16816026,0
17-03-2017,177.85,179,174.75,175.65,117.7375,20678038,0
10-03-2017,179.72,181.29,175.88,177.83,119.1987,18283618,0
03-03-2017,181.19,182.55,179.28,180.05,120.6868,14713309,0
24-02-2017,180.6,182.5,179.12,181.35,121.5582,13082284,0
17-02-2017,179.24,182.79,178.35,180.67,121.1024,15587334,0
10-02-2017,175.31,178.8701,174.38,178.68,119.7685,15458288,1.4
03-02-2017,176.98,177.07,172.89,175.82,116.9223,16952754,0
